Timestamp,RPM,Speed,Throttle,BrakePressure,Gear,OilPressure,EngineTemp,BatteryVoltage,EngineOn
11360,7000,20,20,100,5,90,111,140,1
11370,7000,20,15,100,5,90,111,140,1
11380,7000,20,10,100,5,90,111,140,1
11390,7000,20,5,100,5,90,111,140,1
11400,6900,20,0,100,5,89,111,140,1
11410,6800,20,0,100,5,88,111,140,1
11420,6700,20,0,100,5,87,111,140,1
11430,6600,20,0,100,5,86,111,140,1
11440,6500,20,0,100,5,85,111,140,1
11450,6400,20,0,100,5,84,111,140,1
11460,6300,20,0,100,5,83,111,140,1
11470,6200,20,0,100,5,82,111,140,1
11480,6100,20,0,100,5,81,111,140,1
11490,6000,20,0,100,5,80,111,140,1
11500,5900,20,0,100,5,79,111,140,1
11510,5800,20,0,100,5,78,111,140,1
11520,5700,20,0,100,5,77,111,140,1
11530,5600,20,0,100,5,76,111,140,1
11540,5500,20,0,100,5,75,111,140,1
11550,5400,20,0,100,4,74,111,140,1
11560,5300,20,0,100,4,73,111,140,1
11570,5200,20,0,100,4,72,111,140,1
11580,5100,20,0,100,4,71,111,140,1
11590,5000,20,0,100,4,70,111,140,1
11600,4900,20,0,100,4,69,111,140,1
11610,4800,20,0,100,4,68,111,140,1
11620,4700,20,0,100,4,67,111,140,1
11630,4600,20,0,100,4,66,111,140,1
11640,4500,20,0,100,4,65,111,140,1
11650,4400,20,0,100,4,64,111,140,1
11660,4300,20,0,100,4,63,111,140,1
11670,4200,20,0,100,4,62,111,140,1
11680,4100,20,0,100,4,61,111,140,1
11690,4000,20,0,100,4,60,111,140,1
11700,3900,20,0,100,3,59,111,140,1
11710,3800,20,0,100,3,58,111,140,1
11720,3700,20,0,100,3,57,111,140,1
11730,3600,20,0,100,3,56,111,140,1
11740,3500,20,0,100,3,55,111,140,1
11750,3400,20,0,100,3,54,111,140,1
11760,3300,20,0,100,3,53,111,140,1
11770,3200,20,0,100,3,52,111,140,1
11780,3100,20,0,100,3,51,111,140,1
11790,3000,20,0,100,3,50,111,140,1
11800,2900,20,0,100,3,49,111,140,1
11810,2800,20,0,100,3,48,111,140,1
11820,2700,20,0,100,3,47,111,140,1
11830,2600,20,0,100,3,46,111,140,1
11840,2500,20,0,100,3,45,111,140,1
11850,2400,20,0,100,2,44,111,140,1
11860,2300,20,0,100,2,43,111,140,1
11870,2200,20,0,100,2,42,111,140,1
11880,2100,20,0,100,2,41,111,140,1
11890,2000,20,0,100,2,40,111,140,1
11900,1900,20,0,100,2,39,111,140,1
11910,1800,20,0,100,2,38,111,140,1
11920,1700,20,0,100,2,37,111,140,1
11930,1600,20,0,100,2,36,111,140,1
11940,1500,20,0,100,2,35,111,140,1
11950,1400,20,0,100,2,34,111,140,1
11960,1300,20,0,100,2,33,111,140,1
11970,1200,20,0,100,2,32,111,140,1
11980,1100,20,0,100,2,31,111,140,1
11990,1000,20,0,100,2,30,111,140,1
12000,900,20,0,90,2,29,111,140,1
12010,800,20,0,80,2,28,111,140,1
12020,800,20,0,70,2,28,111,140,1
12030,800,20,0,60,2,28,111,140,1
12040,800,20,0,50,2,28,111,140,1
12050,800,20,0,40,2,28,111,140,1
12060,800,20,0,30,2,28,111,140,1
12070,800,20,0,20,2,28,111,140,1
12080,800,20,0,10,2,28,111,140,1
12090,800,20,0,0,2,28,111,140,1
12100,800,20,0,0,2,28,111,140,1
12110,806,19,3,0,2,28,111,140,1
12120,818,18,6,0,2,28,111,140,1
12130,836,17,9,0,2,28,111,140,1
12140,860,16,12,0,2,28,111,140,1
12150,890,15,15,0,2,28,111,140,1
12160,926,14,18,0,2,29,111,140,1
12170,968,13,21,0,2,29,111,140,1
12180,1016,12,24,0,2,30,111,140,1
12190,1070,11,27,0,2,30,111,140,1
12200,1130,11,30,0,2,31,111,140,1
12210,1196,11,33,0,2,31,111,140,1
12220,1268,12,36,0,2,32,111,140,1
12230,1346,13,39,0,2,33,111,140,1
12240,1430,14,42,0,2,34,111,140,1
12250,1520,15,45,0,2,35,111,140,1
12260,1616,16,48,0,2,36,111,140,1
12270,1718,17,51,0,2,37,111,140,1
12280,1826,18,54,0,2,38,111,140,1
12290,1940,19,57,0,2,39,111,140,1
12300,2060,20,60,0,2,40,111,140,1
12310,2186,21,63,0,2,41,111,140,1
12320,2318,22,66,0,2,43,111,140,1
12330,2456,23,69,0,2,44,111,140,1
12340,2600,24,72,0,3,46,111,140,1
12350,2750,25,75,0,3,47,111,140,1
12360,2906,26,78,0,3,49,111,140,1
12370,3068,27,81,0,3,50,111,140,1
12380,3236,28,84,0,3,52,111,140,1
12390,3410,29,87,0,3,54,111,140,1
12400,3590,30,90,0,3,55,111,140,1
12410,3776,31,93,0,3,57,111,140,1
12420,3968,32,96,0,3,59,111,140,1
12430,4166,33,99,0,4,61,111,140,1
12440,4370,34,102,0,4,63,111,140,1
12450,4574,35,102,0,4,65,111,140,1
12460,4778,36,102,0,4,67,111,140,1
12470,4982,37,102,0,4,69,111,140,1
12480,5186,38,102,0,4,71,111,140,1
12490,5390,39,102,0,4,73,111,140,1
12500,5594,40,102,0,5,75,111,140,1
12510,5798,41,102,0,5,77,111,140,1
12520,6002,42,102,0,5,80,111,140,1
12530,6206,43,102,0,5,82,111,140,1
12540,6410,44,102,0,5,84,111,140,1
12550,6614,45,102,0,5,86,111,140,1
12560,6818,46,102,0,5,88,111,140,1
12570,7000,47,102,0,5,90,111,140,1
12580,7000,48,102,0,5,90,111,140,1
12590,7000,49,102,0,5,90,111,140,1
12600,7000,50,102,0,5,90,111,140,1
12610,7000,51,102,0,5,90,111,140,1
12620,7000,52,102,0,5,90,111,140,1
12630,7000,53,102,0,5,90,111,140,1
12640,7000,54,102,0,5,90,111,140,1
12650,7000,55,102,0,5,90,111,140,1
12660,7000,56,102,0,5,90,111,140,1
12670,7000,57,102,0,5,90,111,140,1
12680,7000,58,102,0,5,90,111,140,1
12690,7000,59,102,0,5,90,111,140,1
12700,7000,60,102,0,5,90,111,140,1
12710,7000,61,102,0,5,90,111,140,1
12720,7000,62,102,0,5,90,111,140,1
